,Date,State,District,Active,Population_2020,Batch_no
136,2021-01-14,Haryana,Jhajjar,21,1092582,2
137,2021-01-14,Haryana,Jind,58,1520933,2
138,2021-01-14,Haryana,Kaithal,36,1224707,2
139,2021-01-14,Haryana,Karnal,129,1716069,1
140,2021-01-14,Haryana,Kurukshetra,110,1099707,2
141,2021-01-14,Haryana,Mahendragarh,14,1051180,2
142,2021-01-14,Haryana,Palwal,14,1188687,2
143,2021-01-14,Haryana,Panchkula,221,639874,2
144,2021-01-14,Haryana,Panipat,125,1374198,2
145,2021-01-14,Haryana,Rewari,87,1026378,2
146,2021-01-14,Haryana,Rohtak,65,1209773,2
147,2021-01-14,Haryana,Sirsa,43,1476515,2
148,2021-01-14,Haryana,Sonipat,97,1653001,1
149,2021-01-14,Haryana,Yamunanagar,93,1384194,2
150,2021-01-14,Jharkhand,Bokaro,68,2351056,2
151,2021-01-14,Jharkhand,Chatra,12,1188890,2
152,2021-01-14,Jharkhand,Deoghar,6,1700963,2
153,2021-01-14,Jharkhand,Dhanbad,67,3060315,2
154,2021-01-14,Jharkhand,Dumka,10,1506444,2
155,2021-01-14,Jharkhand,East Singhbhum,166,2615068,2
156,2021-01-14,Jharkhand,Garhwa,15,1507974,2
157,2021-01-14,Jharkhand,Giridih,6,2787840,2
158,2021-01-14,Jharkhand,Godda,9,1497448,2
159,2021-01-14,Jharkhand,Gumla,51,1168743,2
160,2021-01-14,Jharkhand,Hazaribagh,32,1977324,2
161,2021-01-14,Jharkhand,Jamtara,7,901788,2
162,2021-01-14,Jharkhand,Khunti,13,606349,2
163,2021-01-14,Jharkhand,Koderma,34,816535,2
164,2021-01-14,Jharkhand,Latehar,45,828755,2
165,2021-01-14,Jharkhand,Lohardaga,29,526441,2
166,2021-01-14,Jharkhand,Pakur,0,1026481,2
167,2021-01-14,Jharkhand,Palamu,33,2211451,2
168,2021-01-14,Jharkhand,Ramgarh,22,1082365,2
169,2021-01-14,Jharkhand,Ranchi,653,3322248,1
170,2021-01-14,Jharkhand,Sahibganj,10,1311646,2
171,2021-01-14,Jharkhand,Saraikela-Kharsawan,14,1214164,2
172,2021-01-14,Jharkhand,Simdega,12,683519,2
173,2021-01-14,Jharkhand,West Singhbhum,13,1712665,2
174,2021-01-14,Jammu and Kashmir,Anantnag,54,1229709,2
175,2021-01-14,Jammu and Kashmir,Bandipora,39,447144,2
176,2021-01-14,Jammu and Kashmir,Baramulla,67,1149164,2
177,2021-01-14,Jammu and Kashmir,Budgam,54,859269,2
178,2021-01-14,Jammu and Kashmir,Doda,29,467327,2
179,2021-01-14,Jammu and Kashmir,Ganderbal,73,339088,2
180,2021-01-14,Jammu and Kashmir,Jammu,411,1744152,1
181,2021-01-14,Jammu and Kashmir,Kathua,10,702736,2
182,2021-01-14,Jammu and Kashmir,Kishtwar,8,262993,2
183,2021-01-14,Jammu and Kashmir,Kulgam,46,483911,2
184,2021-01-14,Jammu and Kashmir,Kupwara,73,992204,2
185,2021-01-14,Jammu and Kashmir,Pulwama,82,638902,2
186,2021-01-14,Jammu and Kashmir,Punch,29,543592,2
187,2021-01-14,Jammu and Kashmir,Rajouri,28,732353,2
188,2021-01-14,Jammu and Kashmir,Ramban,11,323433,2
189,2021-01-14,Jammu and Kashmir,Reasi,5,358720,2
190,2021-01-14,Jammu and Kashmir,Samba,96,363544,2
191,2021-01-14,Jammu and Kashmir,Shopiyan,70,303485,2
192,2021-01-14,Jammu and Kashmir,Srinagar,192,1409985,1
193,2021-01-14,Jammu and Kashmir,Udhampur,91,632683,2
194,2021-01-14,Karnataka,Bagalkote,22,2154317,2
195,2021-01-14,Karnataka,Ballari,137,2795958,2
196,2021-01-14,Karnataka,Bengaluru Urban,5561,10968568,1
197,2021-01-14,Karnataka,Bidar,43,1941762,2
198,2021-01-14,Karnataka,Chamarajanagara,34,1163702,2
199,2021-01-14,Karnataka,Chikkaballapura,190,1430819,2
200,2021-01-14,Karnataka,Chikkamagaluru,88,1297276,2
201,2021-01-14,Karnataka,Chitradurga,162,1891780,2
202,2021-01-14,Karnataka,Dakshina Kannada,354,2382200,2
203,2021-01-14,Karnataka,Davanagere,124,2217867,2
204,2021-01-14,Karnataka,Dharwad,115,2105606,2
205,2021-01-14,Karnataka,Gadag,15,1213610,2
206,2021-01-14,Karnataka,Hassan,178,2025120,2
207,2021-01-14,Karnataka,Haveri,7,1821342,2
208,2021-01-14,Karnataka,Kodagu,93,632152,2
209,2021-01-14,Karnataka,Kolar,118,1751497,2
210,2021-01-14,Karnataka,Koppal,26,1584509,2
211,2021-01-14,Karnataka,Mandya,67,2058577,2
212,2021-01-14,Karnataka,Mysuru,278,3421285,2
213,2021-01-14,Karnataka,Raichur,59,2198846,2
214,2021-01-14,Karnataka,Ramanagara,14,1234205,2
215,2021-01-14,Karnataka,Shivamogga,124,1998138,2
216,2021-01-14,Karnataka,Tumakuru,153,3054037,2
217,2021-01-14,Karnataka,Udupi,53,1342192,2
218,2021-01-14,Karnataka,Uttara Kannada,71,1638373,2
219,2021-01-14,Karnataka,Yadgir,32,1338669,2
220,2021-01-14,Kerala,Alappuzha,3729,2425679,3
221,2021-01-14,Kerala,Ernakulam,9093,3741922,1
222,2021-01-14,Kerala,Idukki,4457,1264230,3
223,2021-01-14,Kerala,Kannur,2777,2876223,3
224,2021-01-14,Kerala,Kasaragod,1605,1490408,3
225,2021-01-14,Kerala,Kollam,5640,3004328,2
226,2021-01-14,Kerala,Kottayam,5535,2250988,3
227,2021-01-14,Kerala,Kozhikode,5364,3518374,2
228,2021-01-14,Kerala,Malappuram,4587,4688729,2
229,2021-01-14,Kerala,Palakkad,4731,3203325,2
230,2021-01-14,Kerala,Pathanamthitta,7480,1365050,1
231,2021-01-14,Kerala,Thiruvananthapuram,3290,3763627,2
232,2021-01-14,Kerala,Thrissur,5196,3558168,2
233,2021-01-14,Kerala,Wayanad,3024,931859,3
234,2021-01-14,Ladakh,Kargil,5,160514,1
235,2021-01-14,Ladakh,Leh,109,152175,1
236,2021-01-14,Maharashtra,Ahmednagar,900,5179201,2
237,2021-01-14,Maharashtra,Akola,464,2067853,2
238,2021-01-14,Maharashtra,Amravati,399,3292827,2
239,2021-01-14,Maharashtra,Aurangabad,595,4219461,2
240,2021-01-14,Maharashtra,Beed,405,2946956,2
241,2021-01-14,Maharashtra,Bhandara,402,1368381,2
242,2021-01-14,Maharashtra,Buldhana,530,2948334,2
243,2021-01-14,Maharashtra,Chandrapur,468,2512910,2
244,2021-01-14,Maharashtra,Dhule,174,2337983,2
245,2021-01-14,Maharashtra,Gadchiroli,156,1223154,2
246,2021-01-14,Maharashtra,Gondia,263,1507658,2
247,2021-01-14,Maharashtra,Hingoli,133,1342173,2
248,2021-01-14,Maharashtra,Jalgaon,585,4822105,2
249,2021-01-14,Maharashtra,Jalna,201,2233312,2
250,2021-01-14,Maharashtra,Kolhapur,152,4418641,2
251,2021-01-14,Maharashtra,Latur,396,2797783,2
252,2021-01-14,Maharashtra,Mumbai,7334,14184306,1
253,2021-01-14,Maharashtra,Nagpur,5145,5305070,2
254,2021-01-14,Maharashtra,Nanded,454,3831873,2
255,2021-01-14,Maharashtra,Nandurbar,659,1879056,2
256,2021-01-14,Maharashtra,Nashik,1464,6962193,2
257,2021-01-14,Maharashtra,Osmanabad,360,1889637,2
258,2021-01-14,Maharashtra,Parbhani,125,2093138,2
259,2021-01-14,Maharashtra,Pune,15601,10749525,1
260,2021-01-14,Maharashtra,Raigad,873,3002988,2
261,2021-01-14,Maharashtra,Ratnagiri,235,1841179,2
262,2021-01-14,Maharashtra,Sangli,426,3217243,2
263,2021-01-14,Maharashtra,Satara,783,3424265,2
264,2021-01-14,Maharashtra,Sindhudurg,331,968602,2
265,2021-01-14,Maharashtra,Solapur,1085,4922242,2
266,2021-01-14,Maharashtra,Thane,9910,12608569,1
267,2021-01-14,Maharashtra,Wardha,292,1482882,2
268,2021-01-14,Maharashtra,Washim,125,1364762,2
269,2021-01-14,Maharashtra,Yavatmal,514,3160477,2
270,2021-01-14,Meghalaya,East Garo Hills,0,362425,3
271,2021-01-14,Meghalaya,East Khasi Hills,104,941551,1
272,2021-01-14,Meghalaya,Ribhoi,3,295078,3
273,2021-01-14,Meghalaya,South Garo Hills,1,162261,3
274,2021-01-14,Meghalaya,West Garo Hills,2,733352,3
275,2021-01-14,Meghalaya,West Jaintia Hills,29,2700000,2
276,2021-01-14,Meghalaya,West Khasi Hills,2,437146,3
277,2021-01-14,Manipur,Manipur,446,3255606,1
278,2021-01-14,Madhya Pradesh,Alirajpur,16,831059,2
279,2021-01-14,Madhya Pradesh,Anuppur,17,854130,2
280,2021-01-14,Madhya Pradesh,Ashoknagar,15,963381,2
281,2021-01-14,Madhya Pradesh,Balaghat,35,1939936,2
282,2021-01-14,Madhya Pradesh,Barwani,58,1579904,2
283,2021-01-14,Madhya Pradesh,Betul,142,1795913,2
284,2021-01-14,Madhya Pradesh,Bhind,10,1941426,2
285,2021-01-14,Madhya Pradesh,Bhopal,1992,2703010,1
286,2021-01-14,Madhya Pradesh,Burhanpur,12,863946,2
287,2021-01-14,Madhya Pradesh,Chhatarpur,27,2009108,2
288,2021-01-14,Madhya Pradesh,Chhindwara,53,2383651,2
289,2021-01-14,Madhya Pradesh,Damoh,112,1441210,2
290,2021-01-14,Madhya Pradesh,Datia,43,896900,2
291,2021-01-14,Madhya Pradesh,Dewas,37,1782635,2
292,2021-01-14,Madhya Pradesh,Dhar,80,2491804,2
293,2021-01-14,Madhya Pradesh,Dindori,13,803157,2
294,2021-01-14,Madhya Pradesh,Guna,49,1415332,2
295,2021-01-14,Madhya Pradesh,Gwalior,272,2316521,2
296,2021-01-14,Madhya Pradesh,Harda,44,650330,2
297,2021-01-14,Madhya Pradesh,Hoshangabad,59,1415139,2
298,2021-01-14,Madhya Pradesh,Indore,1964,3735435,1
299,2021-01-14,Madhya Pradesh,Jabalpur,430,2808149,2
300,2021-01-14,Madhya Pradesh,Jhabua,60,1168555,2
301,2021-01-14,Madhya Pradesh,Katni,32,1472928,2
302,2021-01-14,Madhya Pradesh,Khandwa,29,1493470,2
303,2021-01-14,Madhya Pradesh,Khargone,110,2135272,2
304,2021-01-14,Madhya Pradesh,Mandla,7,1202592,2
305,2021-01-14,Madhya Pradesh,Mandsaur,39,1528069,2
306,2021-01-14,Madhya Pradesh,Morena,16,2241206,2
307,2021-01-14,Madhya Pradesh,Narsinghpur,27,1244714,2
308,2021-01-14,Madhya Pradesh,Neemuch,40,941716,2
309,2021-01-14,Madhya Pradesh,Panna,56,1158833,2
310,2021-01-14,Madhya Pradesh,Raisen,45,1518021,2
311,2021-01-14,Madhya Pradesh,Rajgarh,87,1762228,2
312,2021-01-14,Madhya Pradesh,Ratlam,152,1658779,2
313,2021-01-14,Madhya Pradesh,Rewa,111,2696221,2
314,2021-01-14,Madhya Pradesh,Sagar,114,2711442,2
315,2021-01-14,Madhya Pradesh,Satna,49,2540986,2
316,2021-01-14,Madhya Pradesh,Sehore,64,1494918,2
317,2021-01-14,Madhya Pradesh,Seoni,42,1572209,2
318,2021-01-14,Madhya Pradesh,Shahdol,60,1215312,2
319,2021-01-14,Madhya Pradesh,Shajapur,48,1724456,2
320,2021-01-14,Madhya Pradesh,Sheopur,43,784162,2
321,2021-01-14,Madhya Pradesh,Shivpuri,66,1967697,2
322,2021-01-14,Madhya Pradesh,Sidhi,24,1284818,2
323,2021-01-14,Madhya Pradesh,Singrauli,27,1343231,2
324,2021-01-14,Madhya Pradesh,Tikamgarh,20,1647489,2
325,2021-01-14,Madhya Pradesh,Ujjain,177,2265025,2
326,2021-01-14,Madhya Pradesh,Umaria,20,735024,2
327,2021-01-14,Madhya Pradesh,Vidisha,45,1663118,2
328,2021-01-14,Mizoram,Aizawl,72,456352,1
329,2021-01-14,Mizoram,Champhai,0,143349,2
330,2021-01-14,Mizoram,Kolasib,5,95709,2
331,2021-01-14,Mizoram,Lawngtlai,8,134399,2
332,2021-01-14,Mizoram,Lunglei,9,184028,2
333,2021-01-14,Mizoram,Mamit,0,98455,2
334,2021-01-14,Mizoram,Saiha,0,64494,2
335,2021-01-14,Mizoram,Serchhip,0,74028,2
336,2021-01-14,Nagaland,Dimapur,67,431845,1
337,2021-01-14,Nagaland,Kiphire,0,84365,2
338,2021-01-14,Nagaland,Kohima,44,305506,1
339,2021-01-14,Nagaland,Longleng,1,57552,2
340,2021-01-14,Nagaland,Mokokchung,7,221869,2
341,2021-01-14,Nagaland,Mon,2,285296,2
342,2021-01-14,Nagaland,Peren,2,108550,2
343,2021-01-14,Nagaland,Phek,0,186297,2
344,2021-01-14,Nagaland,Tuensang,0,224119,2
345,2021-01-14,Nagaland,Wokha,1,189631,2
346,2021-01-14,Nagaland,Zunheboto,0,160463,2
347,2021-01-14,Odisha,Angul,161,1452156,1
348,2021-01-14,Odisha,Balangir,107,1879857,2
349,2021-01-14,Odisha,Balasore,77,2645403,2
350,2021-01-14,Odisha,Bargarh,157,1688631,1
