State,District,Population_2020
Madhya Pradesh,Rajgarh,1762228
Madhya Pradesh,Vidisha,1663118
Madhya Pradesh,Bhopal,2703010
Madhya Pradesh,Sehore,1494918
Madhya Pradesh,Raisen,1518021
Madhya Pradesh,Betul,1795913
Madhya Pradesh,Harda,650330
Madhya Pradesh,Hoshangabad,1415139
Madhya Pradesh,Katni,1472928
Madhya Pradesh,Jabalpur,2808149
Madhya Pradesh,Narsinghpur,1244714
Madhya Pradesh,Dindori,803157
Madhya Pradesh,Mandla,1202592
Madhya Pradesh,Chhindwara,2383651
Madhya Pradesh,Seoni,1572209
Madhya Pradesh,Balaghat,1939936
Madhya Pradesh,Guna,1415332
Madhya Pradesh,Ashoknagar,963381
Madhya Pradesh,Shahdol,1215312
Madhya Pradesh,Anuppur,854130
Madhya Pradesh,Sidhi,1284818
Madhya Pradesh,Singrauli,1343231
Madhya Pradesh,Jhabua,1168555
Madhya Pradesh,Alirajpur,831059
Madhya Pradesh,Khandwa,1493470
Madhya Pradesh,Burhanpur,863946
Maharashtra,Nandurbar,1879056
Maharashtra,Dhule,2337983
Maharashtra,Jalgaon,4822105
Maharashtra,Buldhana,2948334
Maharashtra,Akola,2067853
Maharashtra,Washim,1364762
Maharashtra,Amravati,3292827
Maharashtra,Wardha,1482882
Maharashtra,Nagpur,5305070
Maharashtra,Bhandara,1368381
Maharashtra,Gondia,1507658
Maharashtra,Gadchiroli,1223154
Maharashtra,Chandrapur,2512910
Maharashtra,Yavatmal,3160477
Maharashtra,Nanded,3831873
Maharashtra,Hingoli,1342173
Maharashtra,Parbhani,2093138
Maharashtra,Jalna,2233312
Maharashtra,Aurangabad,4219461
Maharashtra,Nashik,6962193
Maharashtra,Thane,12608569
Maharashtra,Mumbai,14184306
Maharashtra,Raigad,3002988
Maharashtra,Pune,10749525
Maharashtra,Ahmednagar,5179201
Maharashtra,Beed,2946956
Maharashtra,Latur,2797783
Maharashtra,Osmanabad,1889637
Maharashtra,Solapur,4922242
Maharashtra,Satara,3424265
Maharashtra,Ratnagiri,1841179
Maharashtra,Sindhudurg,968602
Maharashtra,Kolhapur,4418641
Maharashtra,Sangli,3217243
Manipur,Manipur,3255606
